Kısım,Sınıf,Sınıf açıklama,Yıl,Girişim sayısı,CR4,CR8,HHI 
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2009,94,52.64414817,76.01432857,0.092900086
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2010,151,48.45550153,75.0557329,0.084469359
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2011,73,43.03535783,66.42165156,0.068875363
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2012,77,45.75916129,69.59417924,0.073809733
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2013,85,47.51575908,73.90748177,0.081187403
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2014,97,46.66076524,72.5865258,0.077973643
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0510,Taş kömürü madenciliği,2015,89,46.86994419,69.1347943,0.073688189
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2009,223,53.33298674,71.3186591,0.097857913
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2010,301,50.97506116,74.51890726,0.091467661
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2011,239,55.86830969,75.28352039,0.109079777
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2012,249,57.47490512,72.79379071,0.120535673
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2013,293,60.04401009,70.62907754,0.12947275
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2014,248,57.42906201,70.89594388,0.129712111
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0520,Linyit madenciliği,2015,234,59.528599,70.78290967,0.128449953
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0610,Ham petrol çıkarımı,2009,7,98.19961602,100,0.585445779
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0610,Ham petrol çıkarımı,2010,6,99.11839835,100,0.633837482
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0610,Ham petrol çıkarımı,2011,6,98.97153033,100,0.621701726
"B - Madencilik ve taş ocakçılığı
      Mining and quarrying",0610,Ham petrol çıkarımı,2012,8,98.60129775,100,0.607171676
